URLS,Restaurant_ID
https://www.zomato.com/hyderabad/agra-sweets-namkeen-chat-bhandar-manikonda,92
https://www.zomato.com/hyderabad/old-mumbai-ice-cream-madhapur,93
https://www.zomato.com/hyderabad/we-play-abids,94
https://www.zomato.com/hyderabad/sentido-coffee-brewers-1-kondapur,95
https://www.zomato.com/hyderabad/abinand-grand-l-b-nagar,96
https://www.zomato.com/hyderabad/amrutha-vilas-tiffins-attapur,97
https://www.zomato.com/hyderabad/desi-flavours-madhapur,98
https://www.zomato.com/hyderabad/indori-zaika-gachibowli,99
https://www.zomato.com/hyderabad/h-d-bakers-uppal-secunderabad,100
https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,101
https://www.zomato.com/hyderabad/mithaiwala-kothapet,102
https://www.zomato.com/hyderabad/al-saud-bait-al-mandi-chandrayanagutta,103
https://www.zomato.com/hyderabad/haveli-begumpet,104
https://www.zomato.com/hyderabad/kaficko-jubilee-hills,105
https://www.zomato.com/hyderabad/china-town-as-rao-nagar-secunderabad,106
https://www.zomato.com/hyderabad/mix-the-westin-hitech-city,107
https://www.zomato.com/hyderabad/sri-balaji-mithai-bhandar-ecil-secunderabad,108
https://www.zomato.com/hyderabad/annapurna-mess-madhapur,109
https://www.zomato.com/hyderabad/dostea-madhapur,110
https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,111
https://www.zomato.com/hyderabad/tawa-fresh-lingampally,112
https://www.zomato.com/hyderabad/new-golden-bawarchi-mehdipatnam,113
https://www.zomato.com/hyderabad/olive-garden-gachibowli,114
https://www.zomato.com/hyderabad/smp-fast-food-center-tolichowki,115
https://www.zomato.com/hyderabad/fanooz-restaurant-banquet-masab-tank,116
https://www.zomato.com/hyderabad/cascade-coffee-shop-ebony-boutique-hotel-jubilee-hills,117
https://www.zomato.com/hyderabad/hang-out-sainikpuri-secunderabad,118
https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,119
https://www.zomato.com/hyderabad/ihow-cafe-jubilee-hills,120
https://www.zomato.com/hyderabad/ratna-ecil-secunderabad,121
https://www.zomato.com/hyderabad/istah-sizzling-shawarmas-madhapur,122
https://www.zomato.com/hyderabad/fry-n-grill-kothapet,123
